ID,Title,Authors,Venue,Venue Acronym,Venue Type,Year,I1,I2,I3,E1,E2,E3,E4,E5,E6,Included,Notes
46ZRWKG5,A Brief Review of Energy Efficient Techniques in Data Centre’s,"Singh, Jagjeet; Ahuja, Manju",,,,,x,x,,,,,,,x,,Paper not available.
FW6WK5JP,A case study of mobile robot's energy consumption and conservation techniques,"Mei, Yongguo; Lu, Yung-Hsiang; Hu, Y. Charlie; Lee, CS George","ICAR'05. Proceedings., 12th International Conference on Advanced Robotics, 2005.",,,2005,,,,x,,,,,,,"Paper proposes two energy-conservation techniques: dynamic power management and real-time scheduling, however, these two are mainly at the OS level. DPM dynamically changes the voltage and clock frequency of a processor to save power, and RTS schedules hardware tasks to save energy. "
22NVUX8X,A catalogue of green architectural tactics for the cloud,"Procaccianti, Giuseppe; Lago, Patricia; Lewis, Grace A.",2014 IEEE 8th International Symposium on the Maintenance and Evolution of Service-Oriented and Cloud-Based Systems,,,2014,x,x,x,x,,,,,,,"Paper proposes green architectural tactics that cloud providers can implement. This paper has a tactic that is implementable by software developers, however, it mainly gives its importance through a cloud provider perspective."
UU5B96QK,"A Comparative Overview of Tools for Environmental Assessment of Materials, Components and Buildings","Bach, Rebecca; Hildebrand, Linda",sustainable and resilient building design,,,,,,,x,,,,,,,Not SE related based on title.
P9NFE5PP,A Complete Study on Energy Efficient Techniques for Mobile Ad hoc Networks,"Kumar, N.; Dhass, Suresh Gnana",International Journal of Advanced Research in Computer Science and Software Engineering,,,2012,,,,,,,,,x,,Paper not available.
D8Z58E82,A comprehensive survey on energy-efficient power management techniques,"Thakkar, Ankit; Chaudhari, Kinjal; Shah, Monika",Procedia Computer Science,,,2020,x,x,,,,,,,,,"Paper reviews several software based power management techniques such as task scheduling, CPU scheduling, workload scheduling in HCP, and database management systems. However, the techniques are presented from an OS perspective given that the schedulers are managed by the OS. The DBMS approach is to include an energy control loop at the socket level to maintain an energy profile and configure hardware resources. Additionally, a system-level ECL is responsible for monitoring the query response times and influences the decision making of the individual socket-level ECLs"
KA4FBVVV,A detailed study on data centre energy efficiency and efficient cooling techniques,"Mukherjee, Dibyendu; Chakraborty, Srabanti; Sarkar, Indranil; Ghosh, Ahona; Roy, Sandip",International Journal,,,2020,x,x,,x,,,,,,,Paper presents several energy efficiency tactics from the perspective of a cloud provider. The only paper that possibly dealt with energy efficiency multi-core processing from a developer perspective was not available for review.
75SC3FTB,A Digital Twin Architecture Model Applied with MLOps Techniques to Improve Short-Term Energy Consumption Prediction,"Fujii, Tiago Yukio; Hayashi, Victor Takashi; Arakaki, Reginaldo; Ruggiero, Wilson Vicente; Bulla Jr, Romeo; Hayashi, Fabio Hirotsugu; Khalil, Khalil Ahmad",Machines,,,2021,,,,x,,,,,,,Not SE related based on title.
VWNP3V44,A First Look at Energy Consumption of NB-IoT in the Wild: Tools and Large-Scale Measurement,"Yang, Deliang; Huang, Xuan; Huang, Jun; Chang, Xiangmao; Xing, Guoliang; Yang, Yang",IEEE/ACM Transactions on Networking,,,2021,,,,x,,,,,,,"Iot related, but not from the software perspective."
Y2WX6TL6,A framework for environmental impact assessment tools: comparison validation and application using case study of electronic products,"Kulkarni, Rohi; Zhang, Hong C.; Li, Jianzhi; Sun, Junning","Proceedings of the 2005 IEEE International Symposium on Electronics and the Environment, 2005.",,,2005,,,,x,,,,,,,Not SE related based on title.
FGRDGYVB,A framework for fall detection of elderly people by analyzing environmental sounds through acoustic local ternary patterns,"Irtaza, Aun; Adnan, Syed M.; Aziz, Sumair; Javed, Ali; Ullah, M. Obaid; Mahmood, Muhammad Tariq","2017 IEEE international conference on systems, man, and cybernetics (SMC)",,,2017,,,,x,,,,,,,Not SE related based on title.
LN6PFNS8,A geospatial data catalog and metadata management tools for the US Environmental Protection Agency’s Western Ecology Division,"Bradford, David L.",,,,2007,,,,x,,,,,,,Not SE related based on title.
5PPCQ4Y6,A hybrid method with TOPSIS and machine learning techniques for sustainable development of green hotels considering online reviews,"Nilashi, Mehrbakhsh; Mardani, Abbas; Liao, Huchang; Ahmadi, Hossein; Manaf, Azizah Abdul; Almukadi, Wafa",Sustainability,,,2019,,,,x,,,,,,,Not SE related based on title.
A7AZNTWD,A method to evaluate the energy-efficiency of wide-area location determination techniques used by smartphones,"Oshin, Thomas Olutoyin; Poslad, Stefan; Ma, Athen",2012 IEEE 15th International Conference on Computational Science and Engineering,,,2012,x,x,,,,,,,,,"Proposes turn on or off location services accordingly and minimise energy consumption. However, this technique is proposed at the OS level. 
user interaction"
6UGUIYVB,A Noise Mapping Approach for Environmental Impact Analysis in Spatial Planning: Combining GIS Tools and Big Data Analysis,"Lu, Rong; de Vries, B.; van de Waerden, PJHJ; Han, Qi; Carsjens, G. J.; Wang, Tong",,,,2016,,,,,,x,,,,,Not peer reviewed.
HUWC3GR3,A Novel Method for the Bi-directional Transformation between Human Living Activities and Appliance Power Consumption Patterns,"Zhang, Xinpeng; Yamada, Yusuke; Kato, Takekazu; Matsuyama, Takashi",IEICE TRANSACTIONS on Information and Systems,,,2014,,,,x,,,,,,,Not SE related based on title.
YFTSWNUU,A Review of Different Energy Efficiency Techniques in Wireless Sensor Networks,"Amandeep, K.; Kamaljit, K.",International Journal of Advanced Research in Computer Science and Software Engineering,,,,,,,,,,,,x,,Paper not available.
H9R9253F,A Review of Green Cloud Computing Techniques,"Naji, Hala Zineb; Zbakh, Mostapha; Munir, Kashif",International Conference of Cloud Computing Technologies and Applications,,,2017,x,x,,x,,,,,,,"Paper presents energy efficient techniques from a data center perspective only. The paper mentions energy efficiency tactics at the software level, but cites another literature review that cites another literature review that proposes the use of a green compiler, as well as efficient algorithms. However, no citation is given for the efficient algorithms."
43AR54GE,"A review of interoperability techniques for models, data, and knowledge in environmental software","Jolma, A.; Rizzoli, A.",International Congress on Modelling and Simulation-MODSIM03,,,2003,,,,x,,,,,,,Not SE related based on title.
2UI2KDDZ,A Review of Regression and Classification Techniques for Analysis of Common and Rare Variants and Gene-Environmental Factors,"Miller, Anthony; Panneerselvam, John; Liu, Lu",Neurocomputing,,,2021,,,,x,,,,,,,Not SE related based on title.
I9ACAKZ8,A Review of Techniques for Optimizing Cache Energy Efficiency,"Jilani, Hina; Khan, Yasir Danial",,,,2017,,,,x,,,,,,,Paper focuses on cache level energy saving techniques.
4R3UFIR4,A review of the emergent ecosystem of collaborative geospatial tools for addressing environmental challenges,"Palomino, Jenny; Muellerklein, Oliver C.; Kelly, Maggi","Computers, Environment and Urban Systems",,,2017,,,,x,,,,,,,Not SE related based on title.
RNH8MEUW,A review on energy consumption optimization techniques in IoT based smart building environments,"Shah, Abdul Salam; Nasir, Haidawati; Fayaz, Muhammad; Lajis, Adidah; Shah, Asadullah",Information,,,2019,,,,x,,,,,,,Not SE related based on abstract.
868Q7PDC,A review on energy efficient techniques in green cloud computing,"Pragya, M. Gupta",International Journal of Advanced Research in Computer Science and Software Engineering,,,2015,,,,,,,,,x,,Paper not available.
3DET9E5X,A Review on Energy-Aware Scheduling Techniques for Workflows in IaaS Clouds,"Medara, Rambabu; Singh, Ravi Shankar",Wireless Personal Communications,,,2022,x,x,,x,,,,,,,"Paper proposes workflow scheduling algorithms for IaaS Clouds. However, the paper focuses on the implementation of workflow algoritms only from the perspective of a data center."
2MWFP58L,A Review on Energy-Efficient Smart Home Load Forecasting Techniques,"Jaaz, Zahraa A.; Rusli, Mohd Ezanee; Rahmat, Nur Azzamuddin; Khudhair, Inteasar Yaseen; Al Barazanchi, Israa; Mehdy, Hala Shaker","2021 8th International Conference on Electrical Engineering, Computer Science and Informatics (EECSI)",,,2021,,,,x,,,,,,,Not SE related based on abstract.
WEJE4TIF,A review on fault tolerance techniques and algorithms in green cloud computing,"Dwivedi, Umesh; Dev, Harsh",Journal of Computational and Theoretical Nanoscience,,,2018,,,,x,,,,,,,Paper proposes fault tolerant tactics in cloud computing. The paper gives one energy efficient tactic at the hardware level only.
Z3W98F2H,A review on multi-agent platforms and environmental decision support systems simulation tools,"Rendón Sallard, Thania; Sànchez-Marrè, Miquel",,,,2006,,,,x,,,,,,,Not SE related based on title.
Z92GUCTQ,A REVIEW ON STRATEGIES FOR IMPLEMENTING SOFTWARE LEVEL ENERGY OPTIMIZATION USING GREEN COMPILER,"Raveendran, Spasiba; PraveenKumar, V. S.",Internal Quality Assurance Cell (IQAC),,,,x,x,,x,,,,,,,"Paper proposes a how to implement a green compiler based on ditributed computing. However, a green compiler is below the application level."
9QWRE5BW,A semi-quantitative modelling application for assessing energy efficiency strategies,"Nikas, Alexandros; Ntanos, Emmanouil; Doukas, Haris",Applied Soft Computing,,,2019,,,,x,,,,,,,Not SE related based on abstract.
CC49KKFQ,A smart city environmental monitoring network and analysis relying on big data techniques,"Tahat, Ashraf; Aburub, Ruba; Al-Zyoude, Aseel; Talhi, Chamseddine",Proceedings of the 2018 International Conference on Software Engineering and Information Management,,,2018,,,,x,,,,,,,Not SE related based on title.
