ID,Title,Authors,Venue,Venue Acronym,Venue Type,Year,I1,I2,I3,E1,E2,E3,E4,E5,E6,Included,Notes
S2IRVNC6,A study of energy-aware implementation techniques: Redistribution of computational jobs in mobile apps,"Corral, Luis; Georgiev, Anton B.; Sillitti, Alberto; Succi, Giancarlo",Sustainable Computing: Informatics and Systems,SUSCOM,J,2015,x,x,x,,,,,,,x,Paper proposes Method Reallocation which refers to the placement of pieces of code in different execution scopes within a single target and Method Offloading which refers to the placement of pieces of code in external resources in different scopes (for instance a remote server).
KSR7NJ2X,A study of the energy consumption of databases and cloud patterns,"Bani, Béchir; Khomh, Foutse; Guéhéneuc, Yann-Gaël",International Conference on Service-Oriented Computing,ICSOC,C,2016,x,x,x,,,,,,,x,"Paper investigates the energy consumption of three different databases, MySQL, PostgreSQL, and MongoDB in combination of cloud patterns. It finds that MySQL is the most energy efficient database regardless of any cloud patterns implemented."
RL4Q2U3X,An Automated Code Optimizer of Design Patterns for Reducing Energy Usage in Green Computing,"Din, Jamilah; Wei, Ooi Chiew; Jasser, Muhammed Basheer",International Journal of Engineering & Technology,IJET,J,2018,x,x,x,,,,,,,x,Paper proposes a tool to automate the optimization of software design patterns.
NEG9D9ZD,Analysis of energy consumption and optimization techniques for writing energy-efficient code,"Corral-García, Javier; Lemus-Prieto, Felipe; González-Sánchez, José-Luis; Pérez-Toledano, Miguel-Ángel",Electronics,Electronics,J,2019,x,x,x,,,,,,,x,Proposes twenty-five techniques for writing energy-efficient code for Raspberry Pi boards.
8MGR82XA,Anti-patterns and the energy efficiency of Android applications,"Morales, Rodrigo; Saborido, Ruben; Khomh, Foutse; Chicano, Francisco; Antoniol, Giuliano",arXiv preprint arXiv:1610.05711,ARXIV,Not published,2016,x,x,x,,,,,,,x,"Note: This paper itself is not peer reviewed. However it is mentioned in it that it is part of another more overarching paper. I will include the peer reviewed, overarching paper over this one. Paper presents a set of anti-patterns and their relation to the energy consumption of an application. They then describe a set of refactorings to eliminate those anti-patterns that result in energy efficient software."
JL65TSWG,Architectural Tactics for Energy Efficiency: Review of the Literature and Research Roadmap,"Paradis, Carlos; Kazman, Rick; Tamburri, Damian Andrew",Proceedings of the 54th Hawaii International Conference on System Sciences,HICSS ,C,2021,x,x,x,,,,,,,x,Paper presents a review of several efficiency tactics and how they can be implemented in real case scenarios.
XBNH9NN5,Code-level Optimization for Program Energy Consumption,"Fu, Cuijiao; Qian, Depei; Huang, Tianming; Luan, Zhongzhi","COMPUTATION TOOLS 2019 : The Tenth International Conference on Computational Logics, Algebras, Programming, Tools, and Benchmarking",COMPUTATION TOOLS ,C,2019,x,x,x,,,,,,,x,Paper proposes eliminating the dead write from code to incresase energy efficiency in application software.
WJC7DC24,ENERGY CONSUMPTION PATTERNS OF MOBILE APPLICATIONS IN ANDROID PLATFORM: A SYSTEMATIC LITERATURE REVIEW.,"AL NIDAWI, HASAN SAJID ATTA; WEI, KOH TIENG; DAWOOD, KAREEM ABBAS; KHALEEL, AMMAR",Journal of Theoretical & Applied Information Technology,JATIT,J,2017,x,x,x,,,,,,,x,"Paper presents several energy efficiency tactics for smart phone applications, some of them go into improving energy efficiency from the perspective of a software developer at the application level."
5IT56E4B,Energy Efficiency Analysis of Code Refactoring Techniques for Green and Sustainable Software in Portable Devices,"Şanlıalp, İbrahim; Öztürk, Muhammed Maruf; Yiğit, Tuncay",Electronics,Electronics,J,2022,x,x,x,,,,,,,x,Paper proposes several source-code refactoring techniques at the application software level.
QRF2VWTV,Energy efficient data encryption techniques in smartphones,"Mujtaba, Ghulam; Tahir, Muhammad; Soomro, Muhammad Hanif",Wireless Personal Communications,Wireless Personal Communications,J,2019,x,x,x,,,,,,,x,Paper proposes for applicaitons to use specific types of encryption algorithms to reduce energy consumption.
