ID,Included from paper (ID),Snowballing Direction,Title,Authors,Venue,Venue Type,Year,I1,I2,I3,E1,E2,E3,E4,E5,E6,Included,Notes
IL5CDLN3,KSR7NJ2X,B,Anole: a case for energy-aware mobile application design,"Chen, Hui; Luo, Bing; Shi, Weisong",2012 41st International Conference on Parallel Processing Workshops,C,2012,x,x,x,,,,,,,x,"Makes the implementation of a framework to make energy-management apis available to application and OS developers. However, they mainly focus on one possible implementation of such framework, rather than on the use energy-management frameworks from the perspective of software developers."
DQRV7XAC,S2IRVNC6,B,Refactoring android java code for on-demand computation offloading,"Zhang, Ying; Huang, Gang; Liu, Xuanzhe; Zhang, Wei; Mei, Hong; Yang, Shunxiang",ACM Sigplan Notices,J,2012,x,x,x,,,,,,,x,"Paper proposes a program, DPartner, that automatically refactors an application to offload available classes to the cloud. Although technical implementation of DPartner are outside the scope of this research, the main algorithm to identify movable classes is of interest to software developers writing application level software. As such, it will be included in the snowballing."
ILXTNC4I,KSR7NJ2X,B,Studying energy trade offs in offloading computation/compilation in java-enabled mobile devices,"Chen, Guangyu; Kang, B.-T.; Kandemir, Mahmut; Vijaykrishnan, Narayanan; Irwin, Mary Jane; Chandramouli, Rajarathnam",IEEE Transactions on Parallel and Distributed Systems,J,2004,x,x,x,,,,,,,x,Paper describes the use of a proxy to stand in for class interfaces that chooses at run time whether an application should offload certain parts of its code to a remote server or execute locally with some optimizations.
4MWD3GI2,KSR7NJ2X,B,Manageable granularity in mobile application code offloading for energy savings,"Yang, Sirui",2012 IEEE International Conference on Green Computing and Communications,C,2012,x,x,x,,,,,,,x,Paper implements a semi-automatic method offloading technique named MACO where application code is partitioned into computational and UI codes.
4GW9NRNL,S2IRVNC6,B,Estimating mobile application energy consumption using program analysis,"Hao, Shuai; Li, Ding; Halfond, William GJ; Govindan, Ramesh",2013 35th international conference on software engineering (ICSE),C,2013,x,x,x,,,,,,,x,"Paper proposes a new energy consumption measurement approach that is both lightweight in terms of its developer requirements and provides fine-grained estimates of energy consumption at the code level.KSR7NJ2X. Paper proposes a technique that measures energy consumption of applications written for Android mobile devices and provides accurate estimates with a 10% difference from ground truth of their energy consumption. However, the paper focuses on the implementation of the technique itself instead of focusing on application software energy efficiency tactics."
Y2YHD6TU,KSR7NJ2X,B,Initial explorations on design pattern energy usage,"Sahin, Cagri; Cayci, Furkan; Gutierrez, Irene Lizeth Manotas; Clause, James; Kiamilev, Fouad; Pollock, Lori; Winbladh, Kristina",2012 First International Workshop on Green and Sustainable Software (GREENS),C,2012,x,x,x,,,,,,,x,"Paper proposes a novel way of measuring software consumption by analyzing different software components. Paper also describes design patterns and their energy consumption. They find that some patterns increase energy efficiency, while others significantly decrease efficiency."
G5W86TY3,RL4Q2U3X,B,Extending software architecture views with an energy consumption perspective,"Jagroep, Erik; van der Werf, Jan Martijn; Brinkkemper, Sjaak; Blom, Leen; van Vliet, Rob",Computing,J,2017,x,x,x,,,,,,,x,Paper explicitly proposes green software tactics at the application level.
MT89KSP5,RL4Q2U3X,B,Green software architectures: A market-based approach,"Rangaraj, Govindaraj; Bahsoon, Rami",The Second International Workshop on Software Research and Climate Change (WSRCC),C,2010,x,x,x,,,,,,,x,"Paper proposes a dynamic self-management software architecture framework for power based on economic theory. However, it is not immediately clear at which level this software tactic sits. After further examination, it seems that this application would sit at the DevOps level, qualifying under the application software level."
2GN8KRRP,RL4Q2U3X,B,Model-based energy efficiency analysis of software architectures,"Stier, Christian; Koziolek, Anne; Groenda, Henning; Reussner, Ralf",European conference on software architecture,C,2015,x,x,x,,,,,,,x,Paper proposes a modeling approach at design time that can estimate to high accuracy the energy efficiency of a software architecture.
M6QR5AHA,RL4Q2U3X,B,Differences of energetic consumption between Java and JNI Android apps,"Ramírez, Ricardo Isidro; Rubio, Erika Hernández; Viveros, Amilcar Meneses; Hernández, Irene Monserrat Torres",2014 International Symposium on Integrated Circuits (ISIC),C,2014,x,x,x,,,,,,,x,"Paper compares the an application using JNI and Java vs only Java. The paper finds that applications built with JNI perform better and have lower energy consumption. As such, one could extract a tactic to use JNI alongside Java to increase the energy efficiency of applications."
