ID,Title,Authors,Venue,Venue Acronym,Venue Type,Year,Tactic Employed,"Tactic Type (Measurement, Refactoring, Implementation Tactic)","Abstraction Level (Architectural, Design, Code)","Platform (Agnostic, Workstation, Cloud, Mobile)","Software Development Stage (Requirements, Design, Implementation, Verification, and Maintenance)",Context,Study Design,Threats to Validity,Rigor,IR Subjects,IR Context,IR Scale,IR Research Method,Industrial Relevance,"Industry Involvement (Academic, Industrial, Mix)",Notes,,Year,Total,Journal,Conference,Workshop,Not Published (for which extention was found),Total Without SLRs,,Venue Acronym,With SLRs,Without SLR,Venue Acronym (Most Frequent),,Journals,Conferences,Workshops,Total
42FPJLKU,Green software engineering: the curse of methodology,"Hindle, Abram","2016 IEEE 23rd International Conference on Software Analysis, Evolution, and Reengineering (SANER)",SANER,C,2016,,,,,,,,,,,,,,,,SLR,,2004,1,1,0,0,0,1,,ICSE,9,9,ICSE,9,40,91,11,142
ZARPMKH3,Making web applications more energy efficient for OLED smartphones,"Li, Ding; Tran, Angelica Huyen; Halfond, William GJ",Proceedings of the 36th International Conference on Software Engineering,ICSE,C,2014,"Paper proposes a new technique for automatically transforming the color scheme of a mobile web application. They perform static analysis to model the pages that can be generated by the webserver, and using that information it generates relationships between the color pallet of the site. It then proposes a minimization problem whose solution is a color scheme which is similar to the one used in the application. They then use simulated annealing to generate a color scheme that is both energy efficient and similar to the original colors","Refactoring, GUI, Screen Energy Optimization, Code Optimization",Code,Agnostic,Maintenance,1,0.5,0,1.5,0,0,1,0,1,Academic,,,2005,0,0,0,0,0,0,,GREENS,6,5,GREENS,5,,,,
ZTXVCAIZ,Energy types,"Cohen, Michael; Zhu, Haitao Steve; Senem, Emgin Ezgi; Liu, Yu David",Proceedings of the ACM international conference on Object oriented programming systems languages and applications,OOPSLA,C,2012,"Paper presents Energy Types, a practical type system to reason about energy-aware software. The paper embedds phases energy phases and modes, two recurring motifs in modern energy-aware software, into the programming language, ensuring the programmer is aware of how their application must behave in different energy contexts. The programming language then applies DVFS depending on the energy phases and modes defined by the programmer.","Programming Language, Hardware/Software Interfaces, Approximate Programming",Architectural,Mobile,Design,1,0.5,0,1.5,0,0,1,0,1,Academic,,,2006,0,0,0,0,0,0,,SANER,4,3,Information and Software Technology,4,,,,
2A3BQM5I,Smartphones power consumption & energy saving techniques,"Zaman, Noor; Almusalli, Fatimah Abdulaziz",2017 International Conference on Innovations in Electrical Engineering and Computational Technologies (ICIEECT),ICIEECT,C,2017,,,,,,,,,,,,,,,,SLR,,2007,1,0,1,0,0,1,,SUSCOM,4,2,IGSC,4,,,,
X4SLRU4W,Share sens: An approach to optimizing energy consumption of continuous mobile sensing workloads,"Moamen, Ahmed Abdel; Jamali, Nadeem",2015 IEEE International Conference on Mobile Services,MS,C,2015,"Paper introduces an Android API so that programmer's sensor requests are bundled with sensing requests of other applications, leading to more energy efficient code.","Hardware/Software Interfaces, Sensor Management API",Architectural,Mobile,Design,0.5,0.5,0,1,0,0,0,0,0,Academic,,,2008,0,0,0,0,0,0,,Information and Software Technology,4,4,SANER,3,,,,
QRF2VWTV,Energy efficient data encryption techniques in smartphones,"Mujtaba, Ghulam; Tahir, Muhammad; Soomro, Muhammad Hanif",Wireless Personal Communications,Wireless Personal Communications,J,2019,"Paper analyzes the energy consumption of several encryption algorithms such as AES, Blowfish, AES–Blowfish, Blowfish–AES and XTS–AES.",Encryption,Code,Agnostic,Implementation,1,0.5,0,1.5,0,0,1,0,1,Academic,,,2009,4,0,4,0,0,4,,IGSC,4,4,OOPSLA,3,,,,
CIQNDCVP,Detecting energy bugs and hotspots in mobile apps,"Banerjee, Abhijeet; Chong, Lee Kee; Chattopadhyay, Sudipta; Roychoudhury, Abhik",Proceedings of the 22nd ACM SIGSOFT International Symposium on Foundations of Software Engineering,FSE,C,2014,Paper presents an automatic test generator that simulates users' inputs and allows to discover energy hostspots/bugs. Each generated test suite represents a user interaction scenario that leads to an energy hotspot. The paper also defines energy bugs for mobile applications,Acceptance Testing,"Design, Code",Mobile,Verification,1,1,0.5,2.5,0,0,1,0,1,Academic,,,2010,4,0,2,2,0,4,,OOPSLA,3,3,PLDI,3,,,,
UWBD8DUZ,Investigating the correlation between performance scores and energy consumption of mobile web apps,"Chan-Jong-Chu, Kwame; Islam, Tanjina; Exposito, Miguel Morales; Sheombar, Sanjay; Valladares, Christian; Philippot, Olivier; Grua, Eoin Martino; Malavolta, Ivano",Proceedings of the evaluation and assessment in software engineering,EASE,C,2020,Paper proposes to use Google's Lighthouse web performance service to increase the energy efficiency of their mobile web apps given that the researches find a negative correlation of medium and large effect between performance of a web application and energy consumption. Developers can use such a score as a low-cost alternative for preliminary insights also about its energy consumption.,"Measuring, Software Metrics, Testing",Code,Cloud,Verification,1,1,1,3,0,1,1,1,3,Mixed,,,2011,4,0,2,2,0,4,,PLDI,3,3,IT Professional,3,,,,
ULKD3R3F,Jolinar: analysing the energy footprint of software applications,"Noureddine, Adel; Islam, Syed; Bashroush, Rabih",Proceedings of the 25th International Symposium on Software Testing and Analysis,ISSTA,C,2016,"Paper proposes Jolinar, an energy consumption measuring software that extends the existing PowerApi system library tool and builds on top of energy models to provide an accurate, light and easy-to-use interface for energy measurements. This tool lets developers measure the energy consumption of their entire application. This tool also provides a graphic interface so end-users can also measure their mobile applications energy efficiency.","Application Energy Consumption Measuring, Energy Consumption Models, Testing",Architectural,Workstation,Verification,0.5,0.5,0,1,0,0,1,0,1,Academic,,,2012,16,3,9,3,0,15,,IT Professional,3,3,ICSME,3,,,,
3YVNHUJR,Energy saving strategies in the design of mobile device applications,"Meneses-Viveros, Amilcar; Hernández-Rubio, Erika; Mendoza, Sonia; Rodríguez, José; Quintos, Ana Belem Márquez",Sustainable Computing: Informatics and Systems,SUSCOM,J,2018,,,,,,,,,,,,,,,,SLR,,2013,8,3,3,1,0,7,,ICSME,3,3,JSS,3,,,,
