ID,Title,Tactic Employed,Tactic Environment,Tactic Category,"Tactic Type (Measurement, Refactoring, Implementation Tactic)","Abstraction Level (Architectural, Design, Code)","Platform (Agnostic, Workstation, Cloud, Mobile)","Software Development Stage (Requirements, Design, Implementation, Verification, and Maintenance)",,,,,,,,,,,
2GN8KRRP,Model-based energy efficiency analysis of software architectures,"Paper proposes a technique to measure the energy consumption of a software system at the architectural level. It does so by modeling a software system as a component-based architecture, and creating definitons of behavior and power consumption of the components, as well as presenting different views that map the energy consumption of the components to the deployment environment and usage.",Dynamic,Monitoring,Dynamic Measurments,Architectural,Agnostic,Verification,,,,,,,,,,,
2UXA9MJ2,An investigation into energy-saving programming practices for android smartphone app development,"Paper analyzes energy efficiency best practices found in the official Android's developers website.  The paper finds that sending larger files is more energy efficient than sending smaller files, high energy consumption increases energy consumption but only by a small amount, and that avoiding references to array length in a loop reduced energy by 10%, Staticinvocations consumed 15% less energy than virtual invocations, and direct field accesses used 30-35% less energy than indirect getter and setter methods.",Static,Optimization,"Energy efficient code, HTTP bundling,  Energy Efficiency Best Practices ",Code,Agnostic,Implementation,,,,,,,,,,,
32N22PF9,"Software-based energy profiling of android apps: Simple, efficient and reliable?","Paper investigates the accuracy difference between hardware and software energy consumption measuring tools. They propose a measuring software called Petra, for Android OS that measures energy consumption at the method level.",Dynamic,Monitoring,"Estimation, Software Based Measurements, Testing",Code,Mobile,Verification,,,,,,,,,,,
37QLWH7J,Green software requirements and measurement: random decision forests-based software energy consumption profiling,"Paper introduces green requirements that concern the direct negative impact of software and that are specified as software quality attributes as well as a tool that measures the software quality attributes adopted. The requirements are green computation efficiency, green data management, green data communication, and energy consumption awareness. To measure whether these requirements are met, the authors propose an energy consumption model based on machine learning that estimates the impact of a particular software application on the energy consumption of the device rather than determining the energy usage of the whole device.",Dynamic,Monitoring,"Requirements Engineering, Machine Learning Modeling, Measuring",Architectural,Agnostic,Verification,,,,,,,,,,,
37QLWH7J,,,Static,Optimization,,Architectural,Agnostic,Requirements,,,,,,,,,,,
39G59GN3,Leafactor: Improving energy efficiency of android apps via automatic refactoring,Paper proposes an automatic refactoring tool that detects the following code smells at a coding level DrawAllocation: Allocations within drawing logic. WakeLock: Incorrect wake lock usage. Recycle: Failing to release singleton resources. ObsoleteLayoutParam: Unnecessary layout parameters. ViewHolder.,Static,Optimization,"Energy Refactoring, StaticOptimization, Automatic Refactoring ",Code,Mobile,Maintenance,,,,,,,,,,,
3BCM2CIS,A preliminary study of the impact of software engineering on greenit,"Paper proposes to gather applications energy feedback information at runtime and with similar accuracy as hardware equipments while using only a software approach. They do so based on a system monitoring library (at the operating system level), called POWERAPI which estimates the energy consumption of running processes, in real-time, based on raw information collected from hardware devices.",Dynamic,Monitoring,"Process Measuring, Hardware Components Consumption, Testing",Architectural,Workstation,Verification,,,,,,,,,,,
3DSC22RI,Towards a green ranking for programming languages,Paper ranks the energy efficiency of several programming languages and proposes the C language as both the fastest and greenest language.,Static,Optimization,"Programming Languages, Language Benchmarking",Architectural,Agnostic,Design,,,,,,,,,,,
3EL5YH3B,Mobile device power models for energy efficient dynamic offloading at runtime,"Paper proposes a model that estimates the mobile energy consumption of an application that takes into account the CPU, display, wireless network interface, and memory. This model then allows a mobile application to be executed in the cloud, locally, or in a hybrid approach. The authors then present a method to offload parts of an application at runtime based on the model estimations. ",Dynamic,Monitoring,"Computational Offloading, Energy Consumption Model, Hardware Component Measuring",Architectural,Mobile,Verification,,,,,,,,,,,
3EL5YH3B,,,Dynamic,Optimization,,Code,Mobile,Design,,,,,,,,,,,
3ENRR9HW,Green web services: Modeling and estimating power consumption of web services,Paper proposes a predictive model that can be created at design time but leveraged by service composition systems at runtime. This way web services can use dynamic power estimation information and decision support at runtime.,Static,Monitoring,"Energy aware computing, measuring",Architectural,Cloud,Design,,,,,,,,,,,
3ENRR9HW,,,Dynamic,Optimization,,Architectural,Cloud,Design,,,,,,,,,,,
44E3X95Z,,,Dynamic,Monitoring,,Architectural,,Verification,,,,,,,,,,,
