ID,Title,Authors,Year
1,Making web applications more energy efficient for OLED smartphones,"Li, Ding; Tran, Angelica Huyen; Halfond, William GJ",2014
2,Energy types,"Cohen, Michael; Zhu, Haitao Steve; Senem, Emgin Ezgi; Liu, Yu David",2012
3,Share sens: An approach to optimizing energy consumption of continuous mobile sensing workloads,"Moamen, Ahmed Abdel; Jamali, Nadeem",2015
4,Energy efficient data encryption techniques in smartphones,"Mujtaba, Ghulam; Tahir, Muhammad; Soomro, Muhammad Hanif",2019
5,Detecting energy bugs and hotspots in mobile apps,"Banerjee, Abhijeet; Chong, Lee Kee; Chattopadhyay, Sudipta; Roychoudhury, Abhik",2014
6,Investigating the correlation between performance scores and energy consumption of mobile web apps,"Chan-Jong-Chu, Kwame; Islam, Tanjina; Exposito, Miguel Morales; Sheombar, Sanjay; Valladares, Christian; Philippot, Olivier; Grua, Eoin Martino; Malavolta, Ivano",2020
7,Jolinar: analysing the energy footprint of software applications,"Noureddine, Adel; Islam, Syed; Bashroush, Rabih",2016
8,A preliminary study of the impact of software engineering on greenit,"Noureddine, Adel; Bourdon, Aurelien; Rouvoy, Romain; Seinturier, Lionel",2012
9,Object-oriented genetic improvement for improved energy consumption in Google Guava,"Burles, Nathan; Bowles, Edward; Brownlee, Alexander EI; Kocsis, Zoltan A.; Swan, Jerry; Veerapen, Nadarajen",2015
10,An Automated Code Optimizer of Design Patterns for Reducing Energy Usage in Green Computing,"Din, Jamilah; Wei, Ooi Chiew; Jasser, Muhammed Basheer",2018
11,The power of system call traces: predicting the software energy consumption impact of changes.,"Aggarwal, Karan; Zhang, Chenlei; Campbell, Joshua Charles; Hindle, Abram; Stroulia, Eleni",2014
12,Investigating the Impact of Code Refactoring Techniques on Energy Consumption in Different Object-Oriented Programming Languages,"Sanlialp, Ibrahim; Ozturk, Muhammed Maruf",2019
13,Refactoring android java code for on-demand computation offloading,"Zhang, Ying; Huang, Gang; Liu, Xuanzhe; Zhang, Wei; Mei, Hong; Yang, Shunxiang",2012
14,Exploiting significance of computations for energy-constrained approximate computing,"Vassiliadis, Vassilis; Chalios, Charalampos; Parasyris, Konstantinos; Antonopoulos, Christos D.; Lalis, Spyros; Bellas, Nikolaos; Vandierendonck, Hans; Nikolopoulos, Dimitrios S.",2016
15,Estimating software energy consumption with machine learning approach by software performance feature,"Fu, Cuijiao; Qian, Depei; Luan, Zhongzhi",2018
16,"Android app energy efficiency: The impact of language, runtime, compiler, and implementation","Chen, Xinbo; Zong, Ziliang",2016
17,Green software: Refactoring approach,"Sehgal, Rajni; Mehrotra, Deepti; Nagpal, Renuka; Sharma, Ramanuj",2020
18,EnerJ: Approximate data types for safe and general low-power computation,"Sampson, Adrian; Dietl, Werner; Fortuna, Emily; Gnanapragasam, Danushen; Ceze, Luis; Grossman, Dan",2011
19,How to measure energy-efficiency of software: Metrics and measurement results,"Johann, Timo; Dick, Markus; Naumann, Stefan; Kern, Eva",2012
